"","Organization","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","Number of Publications"
"1","Havard","TRAINING IN BIOINFORMATICS AND INTEGRATIVE GENOMICS","NHGRI",8729396,"5T32HG002295-12",5,"T32","HG",2295,12,"",NA,8644899,"PARK, PETER J","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,1,NA,NA
"2","Havard","SUBSTANCE ABUSE AT THE SCHIZOPHRENIA INTERNATIONAL RESEARCH CONGRESS","NIDA",8650549,"1R13DA036925-01",1,"R13","DA",36925,1,"",NA,1893427,"DELISI, LYNN ELEANOR","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,10000,NA,"37"
"3","Havard","16TH IMS NEW RESEARCHERS CONFERENCE","NCI",8785919,"1R13CA189533-01",1,"R13","CA",189533,1,"",NA,9834897,"AIROLDI, EDOARDO MARIA","Not Applicable","HARVARD UNIVERSITY",NA,2014,15000,NA,"25"
"4","Havard","CONFERENCES ON EMERGING STATISTICAL ISSUES IN BIOMEDICAL RESEARCH","NCI",8723063,"5R13CA124365-09",5,"R13","CA",124365,9,"",NA,7043086,"LIN, XIHONG ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,25000,NA,"111"
"5","Havard","ENDOCANNABINOID SIGNALING IN ALCOHOL INDUCED HEPATIC STEATOSIS","NIAAA",8724162,"5F31AA022548-02",5,"F31","AA",22548,2,"",NA,11541632,"LIU, LEAH YU","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30020,NA,NA
"6","Havard","MTORC1 REGULATION BY AMINO ACIDS","NCI",8753923,"5F31CA173942-02",5,"F31","CA",173942,2,"",NA,10718089,"BUEL, GWEN ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30027,NA,NA
"7","Havard","SMO INHIBITOR RESISTANCE IN SHH-SUBTYPE MEDULLOBLASTOMA: MECHANISMS AND TREATMENT","NCI",8642450,"1F31CA183145-01",1,"F31","CA",183145,1,"",NA,10780539,"PAK, EKATERINA ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30027,NA,NA
"8","Havard","MODULATION OF SENSORY REPRESENTATIONS IN THE VENTRAL STRIATUM","NIDA",8644503,"1F31DA036922-01",1,"F31","DA",36922,1,"",NA,11681205,"PASHKOVSKI, STANISLAV ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30027,NA,NA
"9","Havard","REGULATION OF FEEDFORWARD RETINOGENICULATE DEVELOPMENT BY CORTICAL FEEDBACK","NINDS",8652838,"5F31NS083437-02",5,"F31","NS",83437,2,"",NA,11329289,"THOMPSON, ANDREW D.","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30027,NA,NA
"10","Havard","PROBING THE ROLE OF TIM-4 IN CROSS-PRESENTATION OF TUMOR-ASSOCIATED ANTIGENS","NCI",8699727,"5F31CA171339-03",5,"F31","CA",171339,3,"",NA,10357218,"LOUGHHEAD, SCOTT ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30034,NA,NA
