,Author,Number of Publications,Affliation
0,"AHMAD, KAMRAN",0,Harvard
1,"AIROLDI, EDOARDO",25,Harvard
2,"ARLOTTA, PAOLA",47,Harvard
3,"ARTAVANIS-TSAKONAS, SPYRIDON",0,Harvard
4,"ASCHERIO, ALBERTO",180,Harvard
5,"ASSAD, JOHN",24,Harvard
6,"BACCARELLI, ANDREA",199,Harvard
7,"BANGHART, MATTHEW",6,Harvard
8,"BARON, ROLAND",67,Harvard
9,"BENDER, WELCOME",6,Harvard
10,"BENOIST, CHRISTOPHE",147,Harvard
11,"BERKMAN, LISA",107,Harvard
12,"BERNHARDT, THOMAS",35,Harvard
13,"BETANCOURT, THERESA",81,Harvard
14,"BETLEY, THEODORE",31,Harvard
15,"BIEWENER, ANDREW",61,Harvard
16,"BLACKLOW, STEPHEN",70,Harvard
17,"BLOOM, DAVID",53,Harvard
18,"BONDS, MATTHEW",14,Harvard
19,"BORN, RICHARD",27,Harvard
20,"BOYD, DANA",28,Harvard
21,"BRUGGE, JOAN",87,Harvard
22,"BUCKEE, CAROLINE",37,Harvard
23,"BURATOWSKI, STEPHEN",58,Harvard
24,"CABAN-MARTINEZ, ALBERTO",20,Harvard
25,"CAI, TIANXI",101,Harvard
26,"CALARCO, JOHN",14,Harvard
27,"CANNING, DAVID",37,Harvard
28,"CATTERUCCIA, FLAMINIA",17,Harvard
29,"CEPKO, CONSTANCE",79,Harvard
30,"CHOU, JAMES",52,Harvard
31,"CHRISTIANI, DAVID",382,Harvard
32,"CHURCH, GEORGE",253,Harvard
33,"CHURCHMAN, LEE",0,Harvard
34,"CLARDY, JON",151,Harvard
35,"COEN, DONALD",87,Harvard
36,"COLAIACOVO, MONICA",39,Harvard
37,"COREY, DAVID",47,Harvard
38,"CORNELIS, MARILYN",55,Harvard
39,"COWAN, CHAD",50,Harvard
40,"DATTA, SANDEEP",15,Harvard
41,"DAVAASAMBUU, GANMAA",1,Harvard
42,"DELISI, LYNN",37,Harvard
43,"DENIC, VLADIMIR",14,Harvard
44,"DESAI, MICHAEL",35,Harvard
45,"DOCKERY, DOUGLAS",51,Harvard
46,"DONG, MIN",14,Harvard
47,"DORF, MARTIN",22,Harvard
48,"DULAC, CATHERINE",34,Harvard
49,"DURAISINGH, MANOJ",75,Harvard
50,"DYMECKI, SUSAN",31,Harvard
51,"EGGAN, KEVIN",72,Harvard
52,"ENGERT, FLORIAN",37,Harvard
53,"ESSEX, MYRON",9,Harvard
54,"ESVELT, KEVIN",19,Harvard
55,"EXTAVOUR, CASSANDRA",48,Harvard
56,"EYAL, NIR",31,Harvard
57,"FARESE, ROBERT",25,Harvard
58,"FAWZI, WAFAIE",239,Harvard
59,"FINLEY, DANIEL",57,Harvard
60,"FISHER, HEIDI",5,Harvard
61,"FLANAGAN, JOHN",20,Harvard
62,"FONTANA, WALTER",12,Harvard
63,"FORTIER, CATHERINE",16,Harvard
64,"FREDBERG, JEFFREY",91,Harvard
65,"GACK, MICHAELA",28,Harvard
66,"GARNER, ETHAN",12,Harvard
67,"GARRETT, WENDY",57,Harvard
68,"GARSHICK, ERIC",46,Harvard
69,"GAZIANO, THOMAS",42,Harvard
70,"GELBART, WILLIAM",19,Harvard
71,"GELLER, ALAN",91,Harvard
72,"GINTY, DAVID",13,Harvard
73,"GIRE, DAVID",4,Harvard
74,"GOLAN, DAVID",36,Harvard
75,"GOLDBERG, ALFRED",94,Harvard
76,"GOLDSTEIN, EDWARD",25,Harvard
77,"GOLOVCHENKO, JENE",18,Harvard
78,"GOOD, BYRON",9,Harvard
79,"GOODRICH, LISA",26,Harvard
80,"GRANDJEAN, PHILIPPE",88,Harvard
81,"GRAY, JESSE",15,Harvard
82,"GREENBERG, MICHAEL",78,Harvard
83,"GU, CHENGHUA",22,Harvard
84,"GYGI, STEVEN",324,Harvard
85,"HAIGIS, MARCIA",46,Harvard
86,"HANAGE, WILLIAM",53,Harvard
87,"HARPER, JEFFREY",0,Harvard
88,"HARRISON, STEPHEN",126,Harvard
89,"HARTL, DANIEL",131,Harvard
90,"HARWELL, COREY",3,Harvard
91,"HAUSER, RUSS",185,Harvard
92,"HENSCH, TAKAO",29,Harvard
93,"HERNANDEZ-DIAZ, SONIA",129,Harvard
94,"HERRICK, ROBERT",40,Harvard
95,"HIGGINS, DARREN",35,Harvard
96,"HILL, ALISON",19,Harvard
97,"HOCHSCHILD, ANN",39,Harvard
98,"HOGGATT, JONATHAN",12,Harvard
99,"HOGLE, JAMES",38,Harvard
100,"HOOKER, CHRISTINE",31,Harvard
101,"HOTAMISLIGIL, GOKHAN",104,Harvard
102,"HOWE, ROBERT",62,Harvard
103,"HOWLEY, PETER",44,Harvard
104,"HSU, YA-CHIEH",7,Harvard
105,"HU, FRANK",668,Harvard
106,"HUGHES, MICHAEL",74,Harvard
107,"HUNTER, DAVID",464,Harvard
108,"HUSKAMP, HAIDEN",100,Harvard
109,"INTINI, GIUSEPPE",12,Harvard
110,"IRIZARRY, RAFAEL",25,Harvard
111,"JENA, ANUPAM",97,Harvard
112,"JHA, ASHISH",175,Harvard
113,"KAESER, PASCAL",11,Harvard
114,"KALENDERIAN, ELSBETH",32,Harvard
115,"KALINCHUK, ANNA",7,Harvard
116,"KARPLUS, MARTIN",62,Harvard
117,"KASPER, DENNIS",69,Harvard
118,"KAUR, AMITINDER",32,Harvard
119,"KAWACHI, ICHIRO",411,Harvard
120,"KEATING, NANCY",172,Harvard
121,"KELLEY, DAVID",8,Harvard
122,"KHARCHENKO, PETER",45,Harvard
123,"KIM, JANE",89,Harvard
124,"KIRSCHNER, MARC",91,Harvard
125,"KISHONY, ROY",53,Harvard
126,"KLECKNER, NANCY",49,Harvard
127,"KNIPE, DAVID",93,Harvard
128,"KOBZIK, LESTER",81,Harvard
129,"KOHANE, ISAAC",176,Harvard
130,"KOLTER, ROBERTO",125,Harvard
131,"KRAVITZ, EDWARD",28,Harvard
132,"KRIEGER, NANCY",105,Harvard
133,"KRUKENBERG, KRISTIN",5,Harvard
134,"KRUPAT, EDWARD",35,Harvard
135,"LAHAV, GALIT",36,Harvard
136,"LAMONT, ELIZABETH",25,Harvard
137,"LANDON, BRUCE",173,Harvard
